gene_id,gene_symbol,log2fc,pvalue,padj
b1517,lsrF,-0.717,,
b1026,insF,0.717,,
b3874,yihN,0.717,,
b1008,rutE,0.716,,
b4337,mdtM,-0.715,,
b2563,acpS,-0.714,,
b0045,yaaU,-0.713,,
b1836,yebV,0.713,,
b0804,ybiX,-0.712,,
b0918,kdsB,0.712,,
b2476,purC,0.712,,
b3494,uspB,0.712,,
b0902,pflA,0.711,,
b1379,hslJ,-0.711,,
b0253,ykfA,0.711,,
b3502,arsB,0.71,,
b2421,cysM,0.71,,
b0556,rzpD,0.709,,
b4346,mcrB,-0.708,,
b2503,yfgF,0.707,,
b1125,potB,0.707,,
b1775,ydjK,-0.707,,
b1166,ariR,-0.706,,
b2288,nuoA,0.705,,
b2197,ccmE,-0.705,,
b3738,atpB,0.703,,
b2521,sseA,0.703,,
b1851,edd,-0.702,,
b0349,mhpC,-0.702,,
b0544,ybcK,-0.701,,
b3450,ugpC,-0.699,,
b0714,nei,-0.699,,
b0985,gfcC,-0.699,,
b2324,mnmC,0.696,,
b0497,rhsD,0.696,,
b0834,yliF,-0.694,,
b4203,rplI,0.694,,
b2318,truA,0.693,,
b2147,yeiA,-0.693,,
b3953,frwD,0.693,,
b2351,gtrB,0.692,,
b0598,cstA,0.692,,
b4183,yjfK,-0.691,,
b1019,efeB,-0.69,,
b3930,menA,-0.69,,
b1877,yecT,0.69,,
b2778,ygcG,0.689,,
b3927,glpF,0.689,,
b1956,yedQ,0.689,,
b1496,yddA,-0.689,,
b0294,matA,-0.688,,
b0720,gltA,-0.687,,
b1600,mdtJ,0.686,,
b0624,crcB,-0.686,,
b1390,paaC,-0.686,,
b0887,cydD,0.685,,
b1355,ydaG,0.684,,
b0042,fixB,-0.683,,
b2942,metK,-0.683,,
b3612,gpmM,-0.683,,
b2179,yejE,0.682,,
b3665,ade,-0.681,,
b2858,ygeN,0.681,,
b0041,fixA,0.681,,
b1186,nhaB,-0.681,,
b1987,cbl,0.679,,
b3361,fic,0.679,,
b2025,hisF,0.677,,
b1212,prmC,0.676,,
b1209,lolB,0.676,,
b3734,atpA,0.675,,
b2236,yfaE,0.675,,
b0109,nadC,0.674,,
b0080,fruR,0.674,,
b1620,malI,0.673,,
b3096,yqjB,0.673,,
b0928,aspC,0.673,,
b3823,rhtC,0.672,,
b0895,dmsB,0.672,,
b0567,ybcH,-0.671,,
b2716,ascB,-0.67,,
b0658,ybeX,-0.67,,
b2126,yehU,0.669,,
b1906,yecH,0.669,,
b3132,kbaZ,0.668,,
b3146,yraL,0.667,,
b0534,sfmF,0.667,,
b1376,uspF,0.667,,
b4182,yjfJ,-0.666,,
b4310,nanM,-0.666,,
b3413,gntX,-0.664,,
b1110,ycfJ,0.664,,
b1096,pabC,0.664,,
b3550,yiaC,0.664,,
b1216,chaA,0.664,,
b2076,mdtC,0.664,,
b2214,apbE,-0.663,,
b1029,ycdU,-0.663,,
b3555,yiaG,0.661,,
b0314,betT,0.66,,
b0239,frsA,0.659,,
b0316,yahB,0.658,,
b0878,macA,0.658,,
b0020,nhaR,0.657,,
b3710,mdtL,0.656,,
b3138,agaB,-0.655,,
b2392,mntH,-0.655,,
b0940,ycbS,-0.655,,
b2016,yeeZ,0.655,,
b0762,ybhT,0.654,,
b3332,gspK,-0.654,,
b4324,uxuR,-0.653,,
b1549,ydfO,-0.653,,
b2123,yehR,0.652,,
b0013,yaaI,-0.652,,
b0251,yafY,-0.651,,
b3733,atpG,0.651,,
b3355,prkB,0.651,,
b3538,bcsG,0.65,,
b3423,glpR,-0.649,,
b3226,nanR,0.648,,
b3552,yiaD,-0.647,,
b3912,cpxR,0.646,,
b0989,cspH,0.646,,
b3988,rpoC,0.646,,
b1695,ydiO,-0.645,,
b4046,zur,0.644,,
b3569,xylR,0.644,,
b0735,ybgE,0.643,,
b2894,xerD,-0.64,,
b4323,uxuB,-0.64,,
b0600,ybdL,-0.64,,
b0838,yliJ,0.639,,
b1311,ycjO,-0.639,,
b0024,yaaY,0.639,,
b1673,ydhV,-0.639,,
b1725,yniA,0.639,,
b3566,xylF,-0.638,,
b2465,tktB,0.637,,
b0392,ykiA,0.637,,
b4082,mdtN,0.637,,
b0986,gfcB,-0.636,,
b3330,gspI,-0.636,,
b0623,cspE,0.636,,
b3564,xylB,0.635,,
b0913,ycaI,0.633,,
b0240,crl,-0.633,,
b2162,rihB,-0.633,,
b0334,prpD,-0.633,,
b1520,yneE,-0.631,,
b1178,ycgK,-0.63,,
b3571,malS,-0.63,,
b1421,trg,-0.63,,
b0705,ybfL,0.629,,
b4111,proP,-0.629,,
b1539,ydfG,0.629,,
b2381,ypdB,0.629,,
b3753,rbsR,-0.628,,
b3048,yqiI,-0.628,,
b2448,yffQ,0.628,,
b1856,yebA,0.628,,
b3954,yijO,0.627,,
b0516,allC,-0.626,,
b3616,tdh,0.626,,
b1162,ycgE,0.625,,
b2339,yfcV,-0.624,,
b2210,mqo,-0.624,,
b1873,torY,-0.623,,
b1211,prfA,0.622,,
b2784,relA,0.622,,
b1800,yeaU,-0.622,,
b2805,fucR,0.622,,
b2643,yfjX,0.621,,
b3451,ugpE,-0.621,,
b3415,gntT,-0.619,,
b1213,ychQ,0.619,,
b0185,accA,-0.618,,
